indices,nomes,paises
2012-05-06,Joshua Cherry,Bangladesh
2022-10-29,Richard Jones,Algeria
2002-09-05,Richard Woods,Sweden
2000-04-26,Christopher Santos,Luxembourg
1996-06-30,Miranda Jones,Malta
1997-10-30,Kelly Krause,Costa Rica
1995-07-10,Kristi Graham,South Africa
2022-04-19,Lisa Alvarez,Latvia
2020-06-04,Natalie Torres,Kiribati
1995-03-20,Thomas Garcia,Papua New Guinea
2004-02-11,Shelly Davis,Comoros
2021-03-30,Christopher Erickson,Syrian Arab Republic
2008-07-28,Pamela Williamson,Ghana
2016-12-02,Matthew Carter,Senegal
2020-08-14,Marcus Sweeney,Australia
2012-07-03,Lawrence Jones,Cyprus
2020-06-13,Rachael White,Liechtenstein
2013-09-09,Christine Brewer,Ukraine
2008-11-19,Luis Graves,Jamaica
2020-11-04,Bradley Cooper,Ethiopia
1999-03-31,Michele Hunt,Vanuatu
2022-02-22,David Kelley,Tuvalu
2007-02-13,Lisa Schultz,Tonga
2017-08-26,Jason Zamora,Bangladesh
2024-01-22,Theresa Escobar,Pitcairn Islands
2014-04-08,Frank Jacobs,Hong Kong
2017-05-29,Patrick Smith,Mozambique
1994-10-11,Dean Conway,Turkey
2005-09-17,Caleb Li,Bouvet Island (Bouvetoya)
2003-06-09,Michael Berry,Vietnam
2010-11-20,Susan Mclean,Cyprus
2024-01-05,Amber Morris,Burkina Faso
1998-06-28,Christine Clay,Mayotte
2019-04-26,Tracy Snyder,Monaco
2001-11-30,Diane Johnson,Bouvet Island (Bouvetoya)
1999-12-26,Kenneth Villa,Chile
2015-03-02,Heather Cantrell,Kiribati
2017-01-27,Kimberly Allen,Fiji
1994-08-22,Gregory Jordan,Micronesia
2003-08-25,Brittany Christian,Ecuador
1998-04-23,Kimberly Lopez,French Guiana
1999-06-24,Mr. Raymond Stewart,Mauritius
2008-05-01,Dawn Lopez DDS,Jersey
2016-02-20,Vanessa Gardner,Jersey
2002-01-08,Kristin Ruiz,Serbia
2001-07-23,Elaine Shah,Cocos (Keeling) Islands
1996-12-20,Tina Jackson,Turkey
2002-02-26,Kim Schaefer,Zambia
2002-01-06,Sarah Costa,Sudan
2019-07-13,Colin Moore,Ukraine
2017-01-22,Darren Reynolds,Gambia
2010-12-22,Shelia Ryan,Papua New Guinea
2018-02-10,Carl Bradford,Senegal
2012-10-04,Krista Stark,Latvia
2004-02-05,Alan Howard,Palestinian Territory
2014-10-01,Kenneth Patterson,Nepal
2022-07-16,Mr. Todd Clark,Philippines
1996-02-21,Brianna Brown,Canada
2021-12-13,Carol Rodriguez,Burundi
2005-02-04,Sandra Floyd,Philippines
2009-05-22,Aaron Brown,Yemen
2012-01-21,Daniel Ramirez,Afghanistan
2019-09-03,Jason Griffin,Estonia
1995-12-19,Sabrina Taylor,Solomon Islands
2011-05-07,Steven Bentley,Djibouti
2008-03-17,Kristy Sanchez,Kenya
1994-09-15,Ashley Ford,Malaysia
2005-06-21,Timothy Martinez,Bangladesh
2000-11-30,Mark Stephenson,Congo
2009-04-21,David Reynolds,Malta
2023-07-23,Christina Hansen,Cameroon
2021-10-04,Julia White,Swaziland
2012-04-10,Heather Weeks,Suriname
2000-01-05,Morgan Hogan,Barbados
2007-12-06,Sean Mcintyre,Falkland Islands (Malvinas)
2007-12-19,Evan Lopez,Christmas Island
2016-07-03,Amanda Juarez,Switzerland
2009-09-03,Adam Reeves,Bouvet Island (Bouvetoya)
2008-07-02,Michael Ford,New Caledonia
2020-03-06,Brian Thomas,Angola
2011-09-19,Dr. Emma Jenkins,Iraq
2021-03-24,James Martinez,United States of America
2014-03-03,Edwin Jones,United States Virgin Islands
2021-07-13,Jeremy Atkinson,Tunisia
1998-01-16,Sean Cochran,Burkina Faso
2012-05-26,Julie Sims,Lao People's Democratic Republic
2003-07-03,John Jackson,Niue
1999-07-16,Jerry Barber,Australia
2013-05-05,Erika Andersen,Swaziland
2016-10-10,Megan Duran,Bolivia
1994-09-18,Brent Pittman,Tajikistan
2018-01-24,Brian Contreras,South Africa
1999-03-03,Morgan Sanchez,Gambia
2004-08-01,Matthew Walker,Mexico
1996-08-20,Pamela Cabrera,Mozambique
2021-09-10,Deborah Arnold,Netherlands
2007-06-01,Mike Morgan,Costa Rica
2017-11-16,Stephen Holloway,Israel
2002-09-24,Lindsay Brandt,Yemen
1998-03-28,Barbara Price,Korea
2007-12-24,April George,Netherlands
2001-02-23,Thomas Hughes,French Polynesia
2000-11-18,Cory Kelley,Pakistan
2015-02-21,Summer Hanson,Angola
1998-08-31,Erica Branch,Peru
1996-11-01,Devin Patrick,New Zealand
2004-02-21,Evelyn Blair,Uruguay
2022-05-24,Joseph Burns,Fiji
2015-03-05,Jared Wagner,Afghanistan
2018-08-06,Daniel Smith,Tonga
2010-05-17,Alexandra Miller,Greece
2006-05-18,Jessica Hodges,Tokelau
1996-02-24,Rachel White,Guyana
2009-06-02,Robert Ibarra,Lebanon
1995-11-09,Timothy Pruitt,Aruba
2009-06-13,John Parsons,Puerto Rico
2018-02-14,David Hall,Benin
1999-08-15,Diana Garrett,Egypt
2024-02-10,Margaret Thompson,Gibraltar
2011-03-27,Alexandra Graham,Pakistan
2023-08-17,Kimberly Mullins,Burundi
2009-05-07,Michael Medina,Israel
2004-06-19,Carly Forbes,Panama
2007-06-05,Jacob Hill,Montserrat
2013-08-03,Curtis Perez,Bahrain
2008-07-12,Mark Brown DDS,American Samoa
1997-03-31,Kevin Stout,Netherlands Antilles
2009-10-22,William Chase,Oman
2015-06-11,Alicia Ward,Saint Martin
1995-03-03,Curtis Wilson,Argentina
1998-12-07,Roy Hansen PhD,Antarctica (the territory South of 60 deg S)
2016-10-11,Amy Adams,Netherlands
2001-04-05,Jasmine Taylor,Papua New Guinea
2008-01-28,Kurt Johnson,Congo
1995-01-22,Spencer Hopkins,Namibia
2003-10-22,Colleen Gonzales,Jamaica
2023-07-22,Eric Douglas,Panama
1996-12-17,Thomas Holt,Oman
2000-12-02,Dana Haley,Luxembourg
2014-07-02,Teresa Moore,Anguilla
2005-01-06,Nicholas Wright,Jersey
1995-05-04,Roy Guzman,Tuvalu
2011-05-20,Lisa Wright,India
2008-04-22,Rachel Pineda,Bahrain
2004-07-17,Victoria Reid,Czech Republic
1999-03-11,Timothy Sampson,Guinea
2006-03-21,Garrett Cardenas,Korea
1997-06-23,Kelsey Mckee,Ukraine
2020-08-12,Michael Wilson,Korea
2009-03-06,Joseph Garza,Antigua and Barbuda
2008-04-11,Michael Molina,Slovenia
2000-02-08,Rachel Rush,Palestinian Territory
2003-09-02,Darlene Wells,Iceland
2006-09-24,Stephanie Lindsey MD,Japan
2001-04-01,Stacey George,Norfolk Island
1995-06-15,Michelle Church,Cocos (Keeling) Islands
2021-04-06,Johnny Pierce,Nigeria
2016-07-31,Steven Campbell,Nauru
2022-05-05,Christopher Mcdaniel,Niue
1996-09-08,Michael Hughes,Guinea-Bissau
1999-05-25,Nicole Holland,Holy See (Vatican City State)
2011-04-13,Melissa Smith,Singapore
2011-05-11,John Smith,Samoa
2019-04-18,Crystal Turner,Iceland
2002-09-10,Vincent Weaver,Nauru
2018-06-16,William Vega,Singapore
2021-11-07,Casey Brennan,Lao People's Democratic Republic
1995-06-22,Allen Davis,Thailand
2005-04-23,Robert Meadows,Philippines
2024-01-10,Jamie Booker,Barbados
2002-04-10,Ashley White,Korea
2011-06-28,Robert Rios,Northern Mariana Islands
2008-07-02,April Walker,Gambia
2000-03-09,Edward Morris,Guinea-Bissau
2020-11-11,Jennifer Ortega,Romania
2002-03-30,Kathy Perez,Iran
2009-07-03,Robert Moody,Egypt
1997-05-02,Ryan Hooper,Ethiopia
2022-05-24,Jason Boyd,Wallis and Futuna
2015-04-29,Mark Meyer,Grenada
2012-05-20,Summer Carter,Wallis and Futuna
2007-03-18,Mrs. Brittany Cruz DDS,Slovenia
1997-02-15,Cynthia Adkins,Swaziland
1997-10-18,Patricia Williamson,Fiji
2009-02-25,Brian Cowan,Guinea
2014-02-20,Megan Miranda,United States Virgin Islands
2007-11-10,Ricky English,Bahrain
2005-03-16,Michael Krueger,Greece
2022-09-11,Elizabeth Thompson MD,Argentina
1997-08-14,Aaron Miller,Rwanda
2006-08-19,Robin Evans,Brunei Darussalam
2004-06-09,Dan Gilbert,India
1995-05-02,Jonathan Nguyen,Guyana
2010-02-04,Erica Byrd,Mozambique
2022-09-26,Angela Ramos,Dominica
1998-06-29,Jeffrey Hunter,Brunei Darussalam
2022-03-02,Melvin Rodriguez,Tuvalu
1996-03-17,Joan Anthony,Sudan
2011-04-17,Joyce Sandoval,United Arab Emirates
2004-08-19,Timothy Figueroa,Chad
2022-10-22,Luis Rodriguez,Brazil
2003-09-25,Ashley Macdonald,Guadeloupe
2024-04-10,Cindy Orr,Zimbabwe
2001-01-04,Amanda Lawson,Dominica
2015-01-26,Julie Beck,Suriname
1995-09-12,Brendan Davis,Nigeria
2023-12-07,Kristina Harris,Cuba
2016-10-02,Michael Bush,Cocos (Keeling) Islands
2003-11-05,Brianna Calhoun,Dominica
1996-05-19,Tristan Young,Argentina
2009-11-08,Suzanne Wright,United Kingdom
2021-06-30,William Woodard,Bolivia
2015-04-10,Taylor Page,Saint Pierre and Miquelon
2005-03-10,Robert Dixon,Mauritius
2022-09-14,Amy Bowman,Saudi Arabia
2009-12-29,Teresa Lamb,Malawi
2007-09-01,Scott Medina,Martinique
2008-12-13,Alex Morales,Thailand
2019-04-19,Jennifer Nguyen,Sri Lanka
2017-10-02,Michael Peterson,Guinea
2007-05-19,Jacqueline Smith,Jamaica
2021-10-17,John Lee,Nigeria
2004-09-16,David Carrillo,Indonesia
2017-10-09,Lisa Washington,Jordan
1995-09-03,Michelle Soto,Angola
1997-02-12,Jesus Payne,British Virgin Islands
2002-09-09,Cathy Giles,Afghanistan
2017-12-07,Elaine Huynh,Kazakhstan
1996-05-16,Mark Johnson,Moldova
2011-10-03,Jeffrey Hoffman,Pitcairn Islands
2010-05-01,Julie Johnson,China
1998-11-16,Sara Clarke,Mauritania
2022-10-10,Robert Lee,Bahamas
1995-01-28,Daniel Arroyo,Albania
2004-11-13,Blake Johnson,Kazakhstan
2004-06-09,Mark Wells,Oman
2010-10-21,Kristin Lutz,Korea
2003-09-20,Pamela Logan,Kiribati
2012-12-06,Melissa Hernandez,Luxembourg
2011-11-27,Michael Freeman,China
2017-12-14,Kathy Richards,Bahamas
2017-02-20,Michael Parker,Mauritania
2002-06-20,Brad Escobar,Iran
1998-01-25,Carla Chambers,United States Minor Outlying Islands
2005-01-05,Charles Carter,Belize
2001-12-11,Eric Frost,Ukraine
2017-07-28,Jeffrey Love,Cook Islands
2003-03-16,Michelle Nguyen,Macedonia
1997-11-05,Brittany Todd MD,United States of America
2002-01-14,Lee Johnson,Saint Vincent and the Grenadines
2017-09-01,Natalie Smith,Andorra
2001-03-30,Sean Evans,Mozambique
2010-05-11,Alejandra Evans DVM,Saint Lucia
2007-09-22,Katherine Hughes,Bolivia
2012-08-01,Regina Weber,Philippines
2019-01-18,Frederick Hess,Finland
2008-01-27,Ian Huynh,United States of America
2002-03-26,Gerald Santos,Jamaica
2022-10-04,Heather Smith,Papua New Guinea
2022-12-22,Michele Beck,Belgium
2014-01-09,Anna Moore,Mauritania
1998-03-31,Eric Griffith,Niger
2021-08-01,Steve Vance,China
2013-04-19,Christopher Shaffer,Greenland
1999-06-13,Todd Black,Kyrgyz Republic
1994-08-20,Linda Warren,Namibia
2004-03-25,Ashley Day,Croatia
2001-05-20,Eric Hardin,Northern Mariana Islands
2002-09-08,Samuel Hill,Saint Lucia
2011-10-03,Regina Ferrell,Mozambique
2004-08-19,Dean Nielsen,Kuwait
2000-03-02,Stephen Daniel,Belgium
1996-12-15,Diane Smith,South Georgia and the South Sandwich Islands
2018-07-27,Jimmy Petersen,Egypt
2009-10-06,Thomas Johnson,Cocos (Keeling) Islands
2017-01-15,Michael Bishop,Palestinian Territory
2001-05-31,Shannon Carney,Belarus
1999-07-24,Michael Mayo,New Zealand
1999-02-23,Anna Howard,Morocco
2002-03-13,Cheryl Anderson,Philippines
2000-09-25,James Bryan Jr.,Norfolk Island
2023-12-18,Joseph Arnold,Hong Kong
2013-10-17,Taylor Mccullough,Jamaica
1999-08-30,Amanda Stewart,Korea
2000-01-22,Michael Thompson,Faroe Islands
2000-10-12,Amy Vega,Serbia
1998-03-22,Monique Mccoy,Iceland
2023-11-09,Wayne Arroyo,French Guiana
1998-12-14,James Robles,Jamaica
2010-08-17,Kathleen Briggs,United States of America
1999-08-18,Danny Rivera,Jordan
2013-09-16,Anthony Smith,Bahrain
2020-01-07,Adam Griffin,New Caledonia
1996-06-14,Michael Medina,Niger
2015-11-05,Jordan Hill,Austria
2017-02-20,Michael Mann,Uganda
2012-02-23,Wayne Williams,Lao People's Democratic Republic
2018-03-02,Melissa Sparks,Bangladesh
2010-03-24,Melissa Baker,Nepal
2023-01-19,Thomas Parker,Mexico
2006-05-09,Diane Johnson,Poland
2007-11-23,Molly Ritter,Denmark
1996-09-11,Samuel Miller,Greece
1999-09-16,Christopher Larson,Montenegro
2015-03-09,Ricky Martin,Solomon Islands
2023-03-16,Martha Graves,Cyprus
1995-05-02,Andrew Richards,Gabon
2012-02-11,Hannah Turner,Slovakia (Slovak Republic)
2020-11-27,Matthew Jenkins,Myanmar
2001-04-30,Michael Bass,Gambia
2011-08-19,Terry Cunningham,Mali
1996-09-22,Michael Knapp,Brazil
2021-01-17,Renee Trujillo,Guernsey
1998-08-19,Alex Watson,Panama
2014-10-11,Patrick Mcintosh,Colombia
2012-08-09,Amy Roberson,Bolivia
2008-11-25,Caleb Key,Brazil
2003-07-15,Victoria Hampton,Isle of Man
2015-04-01,Jean Brooks,Dominican Republic
1998-08-27,Tony Mcknight,Uzbekistan
2006-12-25,Ricky Newton,France
2003-01-30,Jennifer Clark,Belize
2013-05-03,Heather Thomas,Australia
2008-07-08,Laura Ortega,Georgia
2014-02-21,James Vega,Somalia
2011-11-30,Daniel Copeland,Thailand
2003-04-06,William Valenzuela,Marshall Islands
1999-10-27,Lindsay Jacobs,France
2008-02-03,Jenna Hill,Yemen
2010-10-30,Kelly Caldwell MD,Cyprus
2012-03-17,Tami Eaton,Sierra Leone
1995-05-12,Martha Brooks,Georgia
2020-08-26,Miss Heather Lopez,Timor-Leste
2022-11-22,Johnny Mcclain,Switzerland
2007-01-01,Daniel May,Egypt
2022-09-11,Lindsay Barr,Mayotte
2013-02-25,Jonathan Stevenson,Afghanistan
2022-11-20,Frederick Kerr,Senegal
2019-09-17,Teresa Stone,Monaco
2006-06-11,Ryan Miller,Puerto Rico
2011-06-07,Gordon Villarreal,Macao
2008-09-02,Mike Gomez,Netherlands
1997-07-03,Darren Gonzales,Wallis and Futuna
2017-08-15,Jeffrey Moore,Romania
1995-04-05,Michael Willis,Grenada
2009-08-27,Gilbert Hardin,Sierra Leone
2016-09-21,Calvin Garza,Ukraine
2017-06-14,Hannah Alvarez,South Georgia and the South Sandwich Islands
2008-05-07,Emily Bauer,Latvia
2009-09-10,Kristin Young,Mongolia
2014-09-12,Emily Edwards,Austria
2011-09-06,Donna Blair,Indonesia
2004-05-28,Justin White,Cote d'Ivoire
2001-11-24,Jordan Moody,China
2014-09-19,Gregory Cortez,Tuvalu
2020-07-07,Audrey Hale,Canada
1995-09-05,Alexa Gray,Saint Pierre and Miquelon
2010-08-27,Monique Hernandez,Micronesia
2014-04-14,Jonathan Harris,Falkland Islands (Malvinas)
2020-12-11,Danielle Choi,Egypt
2022-06-26,Matthew Mayo,Korea
2024-04-24,Amy Jordan,Lesotho
2019-10-02,Rachel Burke,Tokelau
2020-01-11,Andrea Brown,Qatar
1998-02-11,Erica Thompson,Moldova
2006-03-15,Daniel Perez,Trinidad and Tobago
2022-11-01,James Butler,Georgia
2024-03-07,Mackenzie Palmer,Senegal
2014-05-18,Nicholas Smith,French Polynesia
1997-05-10,Julie Bradford,American Samoa
2006-07-11,Linda Bennett,Ukraine
2008-06-08,Paul Compton,Zimbabwe
1994-10-04,Michele Russell,Colombia
1996-02-06,Ryan Lawson,Korea
2018-11-30,Andrew Bowman,Finland
2017-08-18,Ralph Solis,Saint Lucia
2019-11-05,Andrew Underwood,Philippines
2013-04-01,Christopher Silva,Kazakhstan
1995-03-03,Morgan Chandler,Dominican Republic
2001-10-13,Joseph Clark,Samoa
2002-05-15,Mark Park,Russian Federation
2014-01-02,Daniel Perkins,Equatorial Guinea
2018-07-08,Katie Martinez,Tonga
2010-09-16,Lauren Maynard,Finland
2007-09-06,Wendy Nicholson,Malta
2015-08-26,Michael Johnson,Nigeria
2014-01-08,David Tucker,Nicaragua
2006-01-25,Emily Griffin,Marshall Islands
2013-12-24,Justin Hooper,Korea
2008-07-07,Anthony Kline,Saint Barthelemy
2019-12-24,Carlos Davis,Kazakhstan
2002-01-09,David Chen,France
1995-01-12,Kelly Garcia,Saint Kitts and Nevis
2019-01-09,Lee Brown,Maldives
2012-11-27,Jodi David,Poland
2017-05-28,Sharon Hoffman DDS,United States Virgin Islands
2004-08-01,Ethan Hughes,Togo
2008-07-15,Taylor Porter,Tokelau
2023-05-05,Christian Fox,Kazakhstan
2013-06-10,Allison Shelton,British Virgin Islands
2004-09-23,Arthur Nash,Zambia
1997-07-06,Abigail Fisher,Estonia
2019-07-22,Jason Larson,Gambia
2023-07-02,Keith Williams,Yemen
2014-07-14,Philip Maldonado,Haiti
2014-04-14,Rebecca Smith,Iran
2004-09-19,Leslie Sexton,Wallis and Futuna
2019-02-26,Paul Cherry,Sudan
2002-05-31,Sherri Anderson,Guam
2013-01-11,Benjamin Long,Rwanda
2017-02-08,Sydney Roth,Netherlands
2005-02-20,Kayla Perry,Mali
1994-12-12,Bobby Carr,Guatemala
2005-05-11,Pamela Ross,Albania
1998-12-29,Holly Adams,Bahrain
2018-11-02,Mr. Charles Madden,United States Virgin Islands
2000-08-09,Donald Walker,Sierra Leone
2014-02-27,Jerry Taylor,Tonga
2010-12-08,Tanya Murray,Paraguay
1997-03-16,Jamie Gonzalez,Bahrain
1994-06-04,Scott Stone,Sri Lanka
2009-03-28,Sarah Underwood,Tonga
2001-11-05,Kenneth Walter,Vietnam
2007-01-05,Sarah Lyons,Croatia
2012-05-13,Kimberly Byrd,Western Sahara
2008-05-14,Charlene Anderson,Cameroon
2001-10-13,Maureen Blake,Slovakia (Slovak Republic)
2018-10-27,Anna Brown,Luxembourg
2000-02-17,Emily Rice,Turks and Caicos Islands
2017-07-15,Kristine Stevens,Bahrain
1998-02-10,Brandon Luna,Oman
2016-08-08,Shane Jensen,Nicaragua
2008-06-28,Jason Sanchez MD,Lao People's Democratic Republic
2018-01-26,Wendy Rodriguez,South Georgia and the South Sandwich Islands
2009-10-16,Juan Todd,Thailand
2024-01-15,Kathleen Phillips,Iceland
2019-03-23,Bradley Freeman,Benin
2005-07-23,Erin Santos,Heard Island and McDonald Islands
2007-05-21,Taylor Lowe,Honduras
2002-08-14,Anna Brown,Slovakia (Slovak Republic)
2000-06-20,Jason Stone,Bahrain
2005-12-06,Kimberly Pineda,Marshall Islands
2021-02-03,Joseph Howell,Yemen
2020-11-07,Anthony Tran,Israel
2019-07-24,Jennifer Todd,Indonesia
2015-12-04,Randall Garcia,Israel
2021-02-15,Matthew Hansen,Northern Mariana Islands
1998-12-06,Michelle Dixon,Bahrain
2014-11-19,Erica Gray,Angola
1998-06-22,Steven Conley,Egypt
2007-12-22,Jeffrey Ford,Korea
1997-06-12,Laura Patel,United Arab Emirates
2004-01-11,Cody Chapman III,Antarctica (the territory South of 60 deg S)
1994-10-05,Alejandro Matthews,Timor-Leste
1995-12-11,Michelle Rodgers,Botswana
2001-10-06,Phyllis Olson,Philippines
2003-07-04,Holly Robertson,South Africa
1996-08-23,Linda Perry,Lao People's Democratic Republic
1996-09-28,Oscar Vasquez,Dominican Republic
2019-11-11,Dawn Abbott,Cocos (Keeling) Islands
2008-11-12,Tony Carey,Argentina
2020-01-31,Jennifer Ochoa,Denmark
2000-04-15,Douglas Baxter,United Arab Emirates
2014-06-25,Ronald Perez,Sweden
2006-02-11,Chris Wilson,Cote d'Ivoire
2006-10-08,Danielle Holden,Turks and Caicos Islands
2018-01-08,Joanne Escobar,Turkmenistan
2017-02-10,Danielle Woodard,Finland
2003-08-27,Frank Burns,Vietnam
2001-07-04,John Ayala,Liberia
2001-06-20,Roy Romero,British Virgin Islands
1994-05-16,Charles Gibson,Bolivia
2013-05-21,Nicholas Wallace,Moldova
2003-08-23,Christina Nguyen,Zimbabwe
2024-03-03,Derrick Martinez,Iraq
2004-08-17,Scott Martin,Samoa
2017-07-05,Jonathon Harris,Paraguay
1995-08-04,Shannon Barry,Panama
2018-07-22,Autumn Henderson,Cameroon
2023-04-14,Joshua Bond,Iraq
2009-05-13,Melissa Martinez,Iran
2006-10-27,Joel Walton,Micronesia
1997-08-12,Madison Lucas,Korea
2002-04-07,Haley Murillo,Fiji
2018-07-26,April Taylor,Mauritius
2013-04-13,Karen Henry,Georgia
2020-03-27,David Moore,Grenada
1999-02-19,Sharon Sampson,Syrian Arab Republic
2002-09-02,Gabriela Brock,Solomon Islands
2021-09-01,Janet Martinez,Canada
2003-04-13,Stephen Hogan,Portugal
2006-02-14,Linda Medina,French Polynesia
1995-06-30,Vanessa Warren,Bahamas
2000-05-23,Brandy Collins,Mexico
2003-11-11,Sean Walsh,Turkmenistan
1999-10-19,Alexander Booth,Isle of Man
2013-05-19,Victoria Freeman PhD,Austria
2023-08-27,Jeremy Edwards,Uzbekistan
2006-05-22,Sharon Stevens,Iraq
2020-03-26,John Marquez,Bhutan
2011-03-17,Janice Peterson,Bouvet Island (Bouvetoya)
2004-11-28,Austin Wong,Haiti
2004-08-21,John Randall,Anguilla
2010-10-08,Bailey Perez,Faroe Islands
2020-03-12,Charles Brown,Aruba
2010-07-17,Katherine Jones,Suriname
2001-07-31,Levi Bell,Fiji
2000-02-29,Lisa Palmer,Canada
1995-12-21,Linda Mitchell,Netherlands Antilles
2002-02-05,Brandon Miranda,Zambia
1997-01-20,Donald Jones,Tunisia
2020-06-11,Bethany Smith,Iran
2002-12-12,Madeline Griffin,Morocco
2005-12-01,Chris Maldonado,Colombia
2002-08-31,Colleen Blake,South Georgia and the South Sandwich Islands
2005-11-07,Olivia Johnston,Iceland
2012-04-08,Brian Rocha,Syrian Arab Republic
2003-08-24,Joshua Logan,Cook Islands
2016-03-20,Kathleen Hutchinson,Anguilla
2001-09-15,Ann Franklin,Western Sahara
2017-02-13,Sara Williams,Seychelles
2011-05-26,Christine Wade,Panama
1996-10-14,Robert Edwards,Czech Republic
2007-11-05,Debbie Williams,Bangladesh
2013-03-21,Daniel Humphrey,Cook Islands
1996-08-07,Jeffrey Barajas,Moldova
2020-01-30,Kathleen Shah,Jordan
2002-12-31,Tracy Jackson,Fiji
2011-10-30,Eric Santiago,Armenia
2002-05-23,Angela Schmidt,Myanmar
2019-06-10,Douglas Ruiz,China
2002-06-25,Denise Church,Vietnam
2002-12-04,Sergio Hernandez,Maldives
1999-04-20,Erica Taylor,Romania
2015-06-29,Ricky Robinson,Finland
1996-09-15,Keith Flores,Bulgaria
2019-10-10,Michael Robinson,Wallis and Futuna
2013-11-09,Ashley Fuller,Taiwan
2023-04-06,Stacy Heath,Australia
1999-10-05,Austin Wolfe,Saint Barthelemy
2017-11-30,Michael Carr,Jersey
2016-12-26,Tony Wilson,Cocos (Keeling) Islands
2006-01-07,Laura Gonzalez,Saint Kitts and Nevis
2015-01-21,Robert Singh,Hong Kong
2009-08-22,Jennifer Simpson MD,Algeria
1995-02-07,Shawn Guerrero,India
1997-07-21,Jeremy Salazar,Uzbekistan
2014-05-03,Lauren Goodwin,Saint Helena
2007-02-08,Sarah Henderson,Vanuatu
2020-07-04,Devin Porter,Zambia
2010-12-17,Diana Perez,Nauru
2018-03-17,Bryan Huynh,Marshall Islands
2020-04-18,Taylor Kerr,Jordan
2014-10-04,Peter Mcdonald,Afghanistan
2001-10-20,Edward Brewer,Kuwait
2014-12-19,Kristin Wagner,Tunisia
2008-06-21,Jennifer Bentley,Uganda
2006-11-30,Laura Rogers,Antarctica (the territory South of 60 deg S)
2007-08-01,Roberto Jacobs,Romania
1997-10-05,Carrie Clark,Liberia
2010-11-24,Melissa Gray,Mozambique
1994-07-09,Rachael Shelton MD,Burundi
1996-09-10,Ashley Good,Antigua and Barbuda
2016-12-15,Brittany Bailey,Comoros
1995-05-21,Mr. Michael Meyer,Brunei Darussalam
2007-10-27,Renee Moore,Cuba
2022-05-16,Raymond Waters,Turkey
2003-08-01,Christopher Fisher,British Indian Ocean Territory (Chagos Archipelago)
2013-07-25,Lauren Hooper,Chad
2012-09-13,Jesse Leonard,Svalbard & Jan Mayen Islands
1997-06-12,Thomas Dixon,Mexico
2008-10-05,Brenda Murray,Jersey
2013-09-21,Mr. David Forbes,Ecuador
2014-11-30,Mark Waters,British Virgin Islands
2016-07-14,Laura Wilson,Aruba
2021-11-23,Mr. Mark Medina,Rwanda
2021-07-26,Larry Becker,British Indian Ocean Territory (Chagos Archipelago)
2014-04-23,Amanda Anderson,Netherlands
2021-06-07,Monica Sullivan,Norway
1996-10-21,Kristie Flynn,Russian Federation
2008-11-18,Tami Bryant,Uruguay
2016-06-04,Thomas Wall,Sri Lanka
